Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_Cases,Deaths,Total_Tests,Tests,CASES_per_Test,Death_in_Closed_Cases,Rank_by_Testing_rate,Rank_by_Death_rate,Rank_by_Cases_rate,Rank_by_Death_of_Closed_Cases,TOP_DEATH,TOP_TEST
"Afghanistan","37856","257","35","10","27681","8790","31","970","35","2565","2565","39043064","0.0477","180","92","120","62","81","180","Afghanistan"
"Albania","7967","155","83","4","3986","3743","15","2769","83","17089","17089","2877351","0.0563","133","58","82","50","53","133","Albania"
"Algeria","40258","411","32","9","28281","10566","41","916","32","0","","43956407","0.0475","","96","126","64","84","195","Algeria"
"Andorra","1024","","686","","875","96","1","13250","686","1778642","1778642","77282","0.0571","1","4","14","49","4","1","Andorra"
"Angola","2044","29","3","1","742","1209","24","62","3","1962","1962","32995591","0.1114","182","169","197","20","110","182","Angola"
"Anguilla","3","","0","","3","0","","200","","44072","44072","15021","","97","","181","","114","97","Anguilla"
"Antigua and Barbuda","94","","31","","89","2","1","959","31","17727","17727","98041","0.0326","132","97","122","93","85","132","Antigua and Barbuda"
"Argentina","320884","8225","144","187","233651","80716","1832","7091","144","22783","22783","45252733","0.0271","127","40","33","113","39","127","Argentina"
"Armenia","42319","263","282","3","35476","6007","","14278","282","64291","64291","2964022","0.023","72","21","13","130","21","72","Armenia"
"Aruba","1387","91","56","1","277","1104","2","12983","56","165395","165395","106829","0.0212","30","76","15","138","69","30","Aruba"
"Australia","24236","243","18","13","17854","5919","51","949","18","215645","215645","25540177","0.0253","22","114","123","117","95","22","Australia"
"Austria","24431","347","81","","21093","2609","21","2710","81","117760","117760","9013539","0.0334","44","59","84","92","54","44","Austria"
"Azerbaijan","34759","139","50","","32511","1738","","3424","50","84301","84301","10151735","0.0154","59","80","74","154","72","59","Azerbaijan"
"Bahamas","1610","79","58","1","211","1376","61","4089","58","21457","21457","393759","0.0983","128","75","58","24","68","128","Bahamas"
"Bahrain","48303","353","105","1","44628","3496","37","28265","105","592064","592064","1708944","0.004","8","51","3","188","48","8","Bahrain"
"Bangladesh","287959","2868","23","41","168991","115146","","1746","23","8535","8535","164914115","0.0221","156","107","95","135","92","156","Bangladesh"
"Barbados","156","1","24","","123","26","","543","24","52285","52285","287425","0.0538","85","104","146","55","91","85","Barbados"
